problem_id,tier,model,answer_agreement_rate,pairwise_answer_agreement,original_vs_paraphrase_agreement,reasoning_similarity,n_versions,majority_answer,all_answers
simple_000,simple,claude-haiku,1.0,1.0,1.0,0.41155902544831535,5,2180,"['$2,180', '$2,180', '$2,180', '$2,180', '$2,180']"
simple_001,simple,claude-haiku,1.0,1.0,1.0,0.5811585777394316,5,1hour,"['1 hour', '1 hour', '1 hour', '1 hour', '1 hour']"
simple_002,simple,claude-haiku,1.0,1.0,1.0,0.3908168588167385,5,5hours,"['5 hours', '5 hours', '5 hours', '5 hours', '5 hours']"
simple_003,simple,claude-haiku,1.0,1.0,1.0,0.5169832918487657,5,12,"['$12', '$12', '$12', '$12', '$12']"
simple_004,simple,claude-haiku,1.0,1.0,1.0,0.32563908283374204,5,273yards,"['273 yards', '273 yards', '273 yards', '273 yards', '273 yards']"
simple_005,simple,claude-haiku,0.4,0.2,0.25,0.3620124113703144,5,45fairies,"['45 fairies', '45 fairies', '45', '45 fairies stayed behind', '45']"
simple_006,simple,claude-haiku,0.8,0.6,0.75,0.637611931509459,5,21yearsold,"['21 years old', '21 years old', '21 years', '21 years old', '21 years old']"
simple_007,simple,claude-haiku,0.6,0.3,0.5,0.4310653214226582,5,145percup,"['$145 per cup', '$145', '$145 per cup', '$145 per cup', 'A single cup costs $145']"
simple_008,simple,claude-haiku,0.8,0.6,0.0,0.4717008125910677,5,60students,"['60 students are enrolled this year in the calligraphy class.', '60 students', '60 students', '60 students', '60 students']"
simple_009,simple,claude-haiku,0.8,0.6,0.75,0.5636677883350865,5,122crabs,"['122 crabs', '122 crabs', '122 crabs', '122 crabs', '122']"
simple_010,simple,claude-haiku,1.0,1.0,1.0,0.4441435935425194,5,29liters,"['29 liters', '29 liters', '29 liters', '29 liters', '29 liters']"
simple_011,simple,claude-haiku,0.4,0.1,0.0,0.47736379635657966,5,80burritos,"['80 leftover burritos', '80 burritos were not eaten at the outing', '80 burritos', '80 burritos', '80 burritos were not consumed']"
simple_012,simple,claude-haiku,1.0,1.0,1.0,0.40431495806488416,5,36hours,"['36 hours', '36 hours', '36 hours', '36 hours', '36 hours']"
simple_013,simple,claude-haiku,1.0,1.0,1.0,0.4975156217365468,5,1430,"['$1,430', '$1,430', '$1,430', '$1,430', '$1,430']"
simple_014,simple,claude-haiku,0.4,0.2,0.0,0.4748154431717689,5,5poundsperday,"['5 pounds of insects per day', '5 pounds per day', '5 pounds', '5 pounds', '5 pounds per day']"
simple_015,simple,claude-haiku,0.4,0.1,0.0,0.43586505272869785,5,5,"['Joey is winning by 5 points', '5 points', '5', '5', ""Joey's score exceeds Marcy's score by 5 points""]"
simple_016,simple,claude-haiku,0.2,0.0,0.0,0.5203392399316578,5,eachchildgot5books,"['Each child got 5 books', 'Each child received 5 books', '5 books', 'Each kid got 5 books', 'Each child has 5 books']"
simple_017,simple,claude-haiku,1.0,1.0,1.0,0.7235342401843011,5,66,"['$66', '$66', '$66', '$66', '$66']"
simple_018,simple,claude-haiku,0.4,0.1,0.25,0.4744005837128634,5,evegaveaway15pomelos,"['Eve gave away 15 pomelos', 'Eve shared 15 pomelos', 'Eve gave 15 pomelos to her friend.', '15 pomelos were given away', 'Eve gave away 15 pomelos']"
simple_019,simple,claude-haiku,0.6,0.4,0.5,0.4515804481651031,5,40,"['40', '40', '40', '40 kittens', '40 kittens']"
simple_020,simple,claude-haiku,1.0,1.0,1.0,0.69918738933648,5,93,"['$93', '$93', '$93', '$93', '$93']"
simple_021,simple,claude-haiku,0.8,0.6,0.75,0.34635380792739523,5,2000steps,"['2,000 steps', 'Elliott took 2,000 steps during his neighborhood run.', '2,000 steps', '2,000 steps', '2,000 steps']"
simple_022,simple,claude-haiku,1.0,1.0,1.0,0.5680581503790252,5,1520,"['$1,520', '$1,520', '$1,520', '$1,520', '$1,520']"
simple_023,simple,claude-haiku,1.0,1.0,1.0,0.6225143025631471,5,11050,"['$11,050', '$11,050', '$11,050', '$11,050', '$11,050']"
simple_024,simple,claude-haiku,1.0,1.0,1.0,0.7039918830054985,5,90,"['$90', '$90', '$90', '$90', '$90']"
simple_025,simple,claude-haiku,1.0,1.0,1.0,0.4867735155937744,5,40000,"['$40,000', '$40,000', '$40,000', '$40,000', '$40,000']"
simple_026,simple,claude-haiku,0.6,0.3,0.0,0.34793690622937157,5,21,"['Mitchell made $21 more than Liam.', '$21', ""Mitchell's earnings exceeded Liam's by $21"", '$21', '$21']"
simple_027,simple,claude-haiku,0.6,0.4,0.25,0.37657565228601847,5,18vacuumcleaners,"['18', '18 vacuum cleaners', '18 vacuum cleaners', '18 vacuum cleaners', '18']"
simple_028,simple,claude-haiku,0.2,0.0,0.0,0.4056696087809974,5,14peoplegotonthebusattheterminal,"['14 people got on the bus at the terminal', '14 individuals initially boarded the bus at the terminal.', '14 passengers', '14 people boarded at the terminal', '14']"
simple_029,simple,claude-haiku,0.8,0.6,0.75,0.6646092371046518,5,23yellowcars,"['23 yellow cars', '23 bumper cars are painted yellow', '23 yellow cars', '23 yellow cars', '23 yellow cars']"
moderate_000,moderate,claude-haiku,1.0,1.0,1.0,0.6756541442065551,5,12,"['12', '12', '12', '12', '12']"
moderate_001,moderate,claude-haiku,1.0,1.0,1.0,0.7923531193880999,5,22,"['22', '22', '22', '22', '22']"
moderate_002,moderate,claude-haiku,1.0,1.0,1.0,0.4882905551639884,5,8000,"['8000', '8000', '8000', '8000', '8000']"
moderate_003,moderate,claude-haiku,0.4,0.2,0.25,0.5823014165404297,5,13{15}ofthepie,"['$\\frac{13}{15}$ of the pie', '$\\frac{13}{15}$', '$\\frac{13}{15}$ of the pie is consumed', '$\\frac{13}{15}$ of the pie', '$\\frac{13}{15}$']"
moderate_004,moderate,claude-haiku,1.0,1.0,1.0,0.4155647142364402,5,24,"['$(2, 4)$', '(2, 4)', '$(2, 4)$', '(2, 4)', '(2, 4)']"
moderate_005,moderate,claude-haiku,0.6,0.4,0.25,0.7992024198644292,5,cotx,"['$\\cot x$ or equivalently $\\frac{\\cos x}{\\sin x}$', '$\\cot x$', '$\\cot x$', '$\\cot x$ or equivalently $\\frac{\\cos x}{\\sin x}$', '$\\cot x$']"
moderate_006,moderate,claude-haiku,0.6,0.4,0.5,0.4099440547993122,5,x=357,"['$x = 3, 5, 7$', 'x = 3, x = 5, x = 7', '$x = 3, 5, 7$', 'x = 3, x = 5, x = 7', '$x = 3, 5, 7$']"
moderate_007,moderate,claude-haiku,0.6,0.4,0.25,0.3306331610903201,5,49,"['Rosa is 49 years old', '49', '49', '49', 'Rosa is 49 years old']"
moderate_008,moderate,claude-haiku,1.0,1.0,1.0,0.4913959202471367,5,2000calories,"['2000 calories', '2,000 calories', '2000 calories', '2000 calories', '2000 calories']"
moderate_009,moderate,claude-haiku,1.0,1.0,1.0,0.41068752483458565,5,2,"['2', '2', '2', '2', '2']"
moderate_010,moderate,claude-haiku,1.0,1.0,1.0,0.4535100042341713,5,326.5,"['326.5', '326.5', '326.5', '326.5', '326.5']"
moderate_011,moderate,claude-haiku,1.0,1.0,1.0,0.5851054522675765,5,x=6,"['$x = 6$', '$x = 6$', 'x = 6', 'x = 6', 'x = 6']"
moderate_012,moderate,claude-haiku,1.0,1.0,1.0,0.417184838971162,5,4005,"['4005', '4005', '4005', '4005', '4005']"
moderate_013,moderate,claude-haiku,1.0,1.0,1.0,0.8000605184170864,5,y=-4,"['$y = -4$', '$y = -4$', '$y = -4$', '$y = -4$', '$y = -4$']"
moderate_014,moderate,claude-haiku,1.0,1.0,1.0,0.4814439197695604,5,4,"['4', '4', '4', '4', '4']"
moderate_016,moderate,claude-haiku,1.0,1.0,1.0,0.6109644382115988,5,a=5,"['$a = 5$', '$a = 5$', '$a = 5$', '$a = 5$', '$a = 5$']"
moderate_019,moderate,claude-haiku,0.2,0.0,0.0,0.40144000088820436,5,-fromz_2,"['- From $z_2$', '## Step 6: Confirm $n = 6$', '- For $n = 6$: All solutions satisfy $z^6 = 1$', '- $\\frac{\\pi}{3}$: $n \\equiv', '12']"
moderate_020,moderate,claude-haiku,1.0,1.0,1.0,0.474632342344356,5,2,"['2', '2', '2', '2', '2']"
moderate_022,moderate,claude-haiku,1.0,1.0,1.0,0.6472432821773747,5,30,"['30', '30', '30', '30', '30']"
moderate_023,moderate,claude-haiku,0.6,0.3,0.5,0.5923148660055602,5,y=4{3},"['$y = \\frac{4}{3}$', '$\\boxed{\\frac{4}{3}}$', '$\\frac{4}{3}$', '$y = \\frac{4}{3}$', '$y = \\frac{4}{3}$']"
moderate_025,moderate,claude-haiku,1.0,1.0,1.0,0.4316524822917656,5,10,"['10', '$10', '$10', '$10', '$10']"
moderate_027,moderate,claude-haiku,1.0,1.0,1.0,0.6296975855363526,5,15-29,"['$(15, -29)$', '$(15, -29)$', '(15, -29)', '$(15, -29)$', '$(15, -29)$']"
moderate_028,moderate,claude-haiku,0.8,0.6,0.75,0.36964086408934643,5,8meals,"['8 meals', '8 meals', '2/3 of a meal (or 0.667 meals)', '8 meals', '8 meals']"
moderate_029,moderate,claude-haiku,1.0,1.0,1.0,0.54031662756457,5,40_9,"['$40_9$', '$40_9$', '$40_9$', '$40_9$', '$40_9$']"
complex_001,complex,claude-haiku,1.0,1.0,1.0,0.38052872048819747,5,3,"['3', '3', '3', '3', '3']"
complex_002,complex,claude-haiku,1.0,1.0,1.0,0.6415360366813407,5,243{625},"['$\\frac{243}{625}$', '$\\frac{243}{625}$', '$\\frac{243}{625}$', '$\\frac{243}{625}$', '$\\frac{243}{625}$']"
complex_005,complex,claude-haiku,1.0,1.0,1.0,0.4936472087690246,5,11111111100,"['11111111100', '11111111100', '11111111100', '11111111100', '11111111100']"
complex_006,complex,claude-haiku,0.6,0.3,0.0,0.5380670080190578,5,10,"['**Verification:** At $x=1$: $1 + 3 - 4 = 0$, and $0 \\cdot 2 \\cdot 2 \\cdot 5 \\cdot 1 = 0$ ✓', '$$0 \\cdot 2 \\cdot 2 \\cdot 5 \\cdot 1 = 0$$', '10', '10', '10']"
complex_007,complex,claude-haiku,0.2,0.0,0.0,0.3286423628474277,5,angleq,"['$$\\angle Q', '- S is positioned such that |PS| = |QS| =', 'For the angle at P: if the configuration is symmetric', '60', 'Actually, S must be positioned such that it forms']"
complex_008,complex,claude-haiku,1.0,1.0,1.0,0.5535835283005544,5,3,"['3', '3', '3', '3', '3']"
complex_010,complex,claude-haiku,0.2,0.0,0.0,0.24815027721718685,5,10,"['10', ""Once you provide these details, I'll be happy to solve the problem completely!"", ""Please share the diagram or description, and I'll solve it for you!"", ""Please share the figure or description, and I'll solve it for you!"", 'Once you provide this information, I can give you the exact numerical answer.']"
complex_011,complex,claude-haiku,1.0,1.0,1.0,0.4978780678661005,5,10meters,"['10 meters', '10 meters', '10 meters', '10 meters', '10 meters']"
complex_012,complex,claude-haiku,1.0,1.0,1.0,0.9504995111342769,5,256,"['256', '256', '256', '256', '256']"
complex_013,complex,claude-haiku,0.8,0.6,0.0,0.48738746801671357,5,15,"['15 sides', '15', '15', '15', '15']"
complex_014,complex,claude-haiku,0.6,0.4,0.5,0.3052436422943125,5,36miles,"['36 miles', '40 miles', '36 miles', '40 miles', '36 miles']"
complex_015,complex,claude-haiku,1.0,1.0,1.0,0.43434221446596544,5,6,"['6', '6', '6', '6', '6']"
complex_017,complex,claude-haiku,0.2,0.0,0.0,0.323513367743574,5,30,"['30', 'The', '$$t = \\f', '$$6u(9u^4 + 10u^2 + 1', 'Dividing by $(']"
complex_018,complex,claude-haiku,1.0,1.0,1.0,0.45731767909479426,5,27648,"['27648', '27648', '27648', '27648', '']"
complex_019,complex,claude-haiku,1.0,1.0,1.0,0.36743425534847046,5,66,"['66', '66', '66', '66', '66']"
complex_020,complex,claude-haiku,1.0,1.0,1.0,0.6090805514921012,5,y=-2x,"['$y = -2x$', '$y = -2x$', '$y = -2x$', '$y = -2x$', '$y = -2x$']"
complex_023,complex,claude-haiku,1.0,1.0,1.0,0.6797670895593271,5,n=11,"['N = 11', 'N = 11', 'N = 11', 'N = 11', 'N = 11']"
complex_024,complex,claude-haiku,0.6,0.4,0.25,0.5639970022178076,5,x=600,"['600', '$x = 600$', '$x = 600$', '600', '$x = 600$']"
complex_025,complex,claude-haiku,1.0,1.0,1.0,0.48324011956084306,5,4,"['4', '4', '4', '4', '4']"
complex_026,complex,claude-haiku,1.0,1.0,1.0,0.4654555393524836,5,6,"['6', '6', '6', '6', '6']"
complex_027,complex,claude-haiku,1.0,1.0,1.0,0.44291009552774624,5,7,"['7', '7', '7', '7', '7']"
complex_028,complex,claude-haiku,0.2,0.0,0.0,0.3054653674101707,5,substit,"['Substit', 'From (1): $6', '$$a = -2.5$$', '$$n = 3 + a + (-', '$$d']"
complex_029,complex,claude-haiku,1.0,1.0,1.0,0.6466426450929113,5,12,"['12', '12', '12', '12', '12']"
simple_021,simple,claude-sonnet,0.6,0.3,0.0,0.3185967605576661,5,2000steps,"['Elliott took 2,000 steps during his jog.', 'Elliott took 2,000 steps during his neighborhood run.', '2,000 steps', '2,000 steps', '2,000 steps']"
simple_022,simple,claude-sonnet,1.0,1.0,1.0,0.5740040970170668,5,1520,"['$1,520', '$1,520', '$1,520', '$1,520', '$1,520']"
simple_023,simple,claude-sonnet,1.0,1.0,1.0,0.5126142294603213,5,11050,"['$11,050', '$11,050', '$11,050', '$11,050', '$11,050']"
simple_024,simple,claude-sonnet,0.4,0.1,0.25,0.5627093969896382,5,90,"['$90', 'The total profit made by the class was $90.00', 'The total profit generated by the class was $90', '$90', 'The total profit the class earned was $90']"
simple_025,simple,claude-sonnet,0.8,0.6,0.75,0.41779837497859607,5,40000,"['$40,000', '$40,000', '$40,000', 'John has $40,000 of the loan left after paying his debts.', '$40,000']"
simple_026,simple,claude-sonnet,0.8,0.6,0.75,0.39288788496538357,5,21,"['$21', '$21', ""Mitchell's earnings exceeded Liam's by $21"", '$21', '$21']"
simple_027,simple,claude-sonnet,0.8,0.6,0.75,0.40496522941191715,5,18,"['18', '[18 vacuum cleaners]', '18', '18', '18']"
simple_028,simple,claude-sonnet,0.4,0.1,0.0,0.3771998517649916,5,14,"['14 people got on the bus at the terminal.', '14 individuals initially boarded the bus at the terminal.', '14', '[14 passengers boarded at the terminal]', '[14]']"
simple_029,simple,claude-sonnet,1.0,1.0,1.0,0.7454209576865984,5,23,"['[23]', '[23]', '[23]', '[23]', '[23]']"
moderate_000,moderate,claude-sonnet,1.0,1.0,1.0,0.5664804897269548,5,12,"['12', '12', '12', '12', '12']"
moderate_001,moderate,claude-sonnet,1.0,1.0,1.0,0.6210630321245618,5,22,"['22', '22', '22', '22', '22']"
moderate_002,moderate,claude-sonnet,1.0,1.0,1.0,0.4217794151420849,5,8000,"['8000', '8000', '8000', '8000', '8000']"
moderate_003,moderate,claude-sonnet,0.8,0.6,0.75,0.4226573247954358,5,13{15},"['$\\dfrac{13}{15}$', '$\\dfrac{13}{15}$', '13/15', '$\\dfrac{13}{15}$', '$\\dfrac{13}{15}$']"
moderate_004,moderate,claude-sonnet,1.0,1.0,1.0,0.3376475685365844,5,24,"['(2, 4)', '(2, 4)', '(2, 4)', '(2, 4)', '(2, 4)']"
moderate_005,moderate,claude-sonnet,1.0,1.0,1.0,0.686185947573234,5,cotx,"['$\\boxed{\\cot x}$', '$\\cot x$', '$\\cot x$', '$\\cot x$', '$\\cot x$']"
moderate_006,moderate,claude-sonnet,0.8,0.6,0.75,0.642826207527033,5,x=3quadx=5quadx=7,"['$x = 3, \\quad x = 5, \\quad x = 7$', '$x = 3, \\quad x = 5, \\quad x = 7$', '$x = 3, \\quad x = 5, \\quad x = 7$', 'x = 3, x = 5, and x = 7', '$x = 3, \\quad x = 5, \\quad x = 7$']"
moderate_007,moderate,claude-sonnet,0.6,0.4,0.5,0.4852654597449829,5,rosais49yearsold,"['Rosa is 49 years old.', '49', 'Rosa is 49 years old.', '49', 'Rosa is 49 years old.']"
moderate_008,moderate,claude-sonnet,1.0,1.0,1.0,0.5042805046289182,5,2000calories,"['2000 calories', '[2000 calories]', '[2000 calories]', '2000 calories', '[2000 calories]']"
moderate_009,moderate,claude-sonnet,1.0,1.0,1.0,0.3839610820486371,5,2,"['2', '2', '2', '2', '2']"
moderate_010,moderate,claude-sonnet,1.0,1.0,1.0,0.6483276139549973,5,326.5,"['326.5', '326.5', '326.5', '326.5', '326.5']"
moderate_011,moderate,claude-sonnet,1.0,1.0,1.0,0.47773204753624643,5,x=6,"['x = 6', 'x = 6', 'x = 6', 'x = 6', 'x = 6']"
moderate_012,moderate,claude-sonnet,1.0,1.0,1.0,0.47997877722730686,5,4005,"['4005', '4005', '4005', '4005', '[4005]']"
moderate_013,moderate,claude-sonnet,1.0,1.0,1.0,0.8981507721594484,5,y=-4,"['y = -4', 'y = -4', 'y = -4', 'y = -4', 'y = -4']"
moderate_014,moderate,claude-sonnet,1.0,1.0,1.0,0.6167354080487523,5,4,"['4', '4', '4', '[4]', '4']"
moderate_016,moderate,claude-sonnet,1.0,1.0,1.0,0.6276320154803982,5,a=5,"['a = 5', 'a = 5', 'a = 5', 'a = 5', 'a = 5']"
moderate_019,moderate,claude-sonnet,0.4,0.1,0.0,0.32855365727427477,5,6,"['- $e^{2\\pi i/3} = e^{4\\pi i/6}$ ✓ ($k = 2', '6', '- $e^{2\\pi i \\cdot 5/6}$: fraction $5', '$\\boxed{6}$', 'All four roots are **6th roots of unity** (since $k = 1']"
moderate_020,moderate,claude-sonnet,1.0,1.0,1.0,0.4567301587007229,5,2,"['2', '2', '2', '2', '2']"
moderate_022,moderate,claude-sonnet,0.8,0.6,0.0,0.5804469624952479,5,30,"['30°', '30', '30', '30', '30']"
moderate_023,moderate,claude-sonnet,0.6,0.4,0.5,0.6257993907132564,5,y=4{3},"['$y = \\dfrac{4}{3}$', '$\\dfrac{4}{3}$', '$\\dfrac{4}{3}$', '$y = \\dfrac{4}{3}$', '$y = \\dfrac{4}{3}$']"
moderate_025,moderate,claude-sonnet,1.0,1.0,1.0,0.395030560989755,5,10,"['$10', '$10', '$10', '$10', '$10']"
moderate_027,moderate,claude-sonnet,1.0,1.0,1.0,0.5318802727213734,5,15-29,"['(15, -29)', '(15, -29)', '(15, -29)', '(15, -29)', '(15, -29)']"
moderate_028,moderate,claude-sonnet,0.6,0.4,0.5,0.35458358223324765,5,8meals,"['[8 meals]', '[8 meals]', '8 meals', '[8]', '[8]']"
moderate_029,moderate,claude-sonnet,0.8,0.6,0.75,0.293899125896497,5,40_9,"['$40_9$', '$40_9$', '40₉', '$40_9$', '$40_9$']"
complex_001,complex,claude-sonnet,1.0,1.0,1.0,0.31512989242377265,5,3,"['3', '3', '[3]', '3', '3']"
complex_002,complex,claude-sonnet,0.6,0.4,0.25,0.4115598793738443,5,243{625},"['243/625', '$\\dfrac{243}{625}$', '$\\dfrac{243}{625}$', '$\\dfrac{243}{625}$', '243/625']"
complex_005,complex,claude-sonnet,1.0,1.0,1.0,0.45996421867692405,5,11111111100,"['$\\boxed{11111111100}$', '$\\boxed{11111111100}$', '11111111100', '$\\boxed{11111111100}$', '11111111100']"
complex_006,complex,claude-sonnet,1.0,1.0,1.0,0.605472060229624,5,10,"['10', '10', '10', '10', '10']"
complex_007,complex,claude-sonnet,0.2,0.0,0.0,0.3009055806144837,5,30,"['30', 'S tangent to Q and one other... If S is tangent to P and', 'Check: 30° + 30° + arccos(-1/4) ≈ 30 + 30 + 104.5 = 164.5° ≠', 'The smallest angle would be **45°', 'Triangle PQS: sides 4, 2, 2 — but 2+']"
complex_008,complex,claude-sonnet,0.6,0.3,0.5,0.6088904207651306,5,3,"['3', '3', '3', '[3 treeks equal the mass of one squig]', '3 treeks']"
complex_010,complex,claude-sonnet,0.8,0.6,0.0,0.34064004664634745,5,6,"['10', '6', '6', '6', '6']"
complex_011,complex,claude-sonnet,0.8,0.6,0.75,0.5971074833889911,5,10meters,"['10 meters', '10 meters', '10 meters', '10 meters', 'The hallway measures 10 meters.']"
complex_012,complex,claude-sonnet,1.0,1.0,1.0,0.5359735695602253,5,256,"['256', '256', '256', '256', '256']"
complex_013,complex,claude-sonnet,0.6,0.4,0.5,0.44801555354470357,5,15,"['15', '15', '[15 sides]', '15 sides', '15']"
complex_014,complex,claude-sonnet,0.6,0.3,0.0,0.3916411015173832,5,36miles,"['32', '36 miles', '36 miles', '36 miles', '36']"
complex_015,complex,claude-sonnet,1.0,1.0,1.0,0.5559317751231239,5,6,"['6', '6', '6', '6', '6']"
complex_017,complex,claude-sonnet,0.8,0.6,0.75,0.30705208902351827,5,30,"['30', '30', '30°', '30', '30']"
complex_018,complex,claude-sonnet,1.0,1.0,1.0,0.5956160044029472,5,27648,"['$\\boxed{27648}$', '$\\boxed{27648}$', '$\\boxed{27648}$', '$\\boxed{27648}$', '$\\boxed{27648}$']"
complex_019,complex,claude-sonnet,1.0,1.0,1.0,0.2958783614865653,5,66,"['66', '66', '66', '66', '66']"
complex_020,complex,claude-sonnet,1.0,1.0,1.0,0.6790275857821266,5,y=-2x,"['y = -2x', '$y = -2x$', 'y = -2x', '$y = -2x$', '$y = -2x$']"
complex_023,complex,claude-sonnet,1.0,1.0,1.0,0.6535622584809849,5,n=11,"['N = 11', 'N = 11', 'N = 11', 'N = 11', 'N = 11']"
complex_024,complex,claude-sonnet,1.0,1.0,1.0,0.5425521297087478,5,x=600,"['x = 600', 'x = 600', 'x = 600', 'x = 600', 'x = 600']"
complex_025,complex,claude-sonnet,1.0,1.0,1.0,0.4423253947755866,5,4,"['4', '4', '4', '4', '4']"
complex_026,complex,claude-sonnet,1.0,1.0,1.0,0.4382709030042122,5,6,"['6', '6', '6', '6', '6']"
complex_027,complex,claude-sonnet,1.0,1.0,1.0,0.4786955473978254,5,7,"['7', '7', '7', '7', '7']"
complex_028,complex,claude-sonnet,0.2,0.0,0.0,0.22541623636656563,5,2a=19+5c+d→a=(19+5c,"['2a = 19 + 5c + d → a = (19 + 5c', '32 + 9c + 3d =', '- P(4) = 64 - 40 -', 'From (9): d = -18 - 3(-5/2) = -18 + 15/2 = -21/', 'At x=1,']"
complex_029,complex,claude-sonnet,1.0,1.0,1.0,0.43448570384519547,5,12,"['12', '12', '12', '12', '12']"
simple_000,simple,claude-sonnet,1.0,1.0,1.0,0.3214451814650987,5,2180,"['$2,180', '$2,180', '$2,180', '$2,180', '$2,180']"
simple_001,simple,claude-sonnet,1.0,1.0,1.0,0.518097877276918,5,1hour,"['1 hour', '1 hour', '1 hour', '1 hour', '1 hour']"
simple_002,simple,claude-sonnet,0.4,0.2,0.25,0.42244020108205077,5,5hours,"['5 hours', ""The duration of Tom's return journey is 5 hours."", ""The duration of Tom's return journey is 5 hours."", 'The return journey requires 5 hours.', '5 hours']"
simple_003,simple,claude-sonnet,1.0,1.0,1.0,0.4186645603795876,5,12,"['$12', '$12', '$12', '$12', '$12']"
simple_004,simple,claude-sonnet,0.8,0.6,0.75,0.5201978828751231,5,273yards,"['273 yards', 'They used a total of 273 yards of yarn in their knitting session.', '273 yards', '273 yards', '273 yards']"
simple_005,simple,claude-sonnet,0.8,0.6,0.75,0.3549460871757862,5,45,"['[45]', '45', '45', '45 fairies stayed behind', '[45]']"
simple_006,simple,claude-sonnet,0.8,0.6,0.75,0.5398043903298851,5,21,"['21', '21', '21 years', '21', '21']"
simple_007,simple,claude-sonnet,0.6,0.3,0.0,0.4967590056240372,5,145,"['Each cup costs $145', '$145', '$145 per cup', '$145', '$145']"
simple_008,simple,claude-sonnet,1.0,1.0,1.0,0.37366939115014813,5,60students,"['60 students', '[60 students]', '[60 students]', '60 students', '60 students']"
simple_009,simple,claude-sonnet,0.6,0.4,0.25,0.5413222426043147,5,122,"['[122 crabs]', '122 crabs', '122', '122', '122']"
simple_010,simple,claude-sonnet,1.0,1.0,1.0,0.3797183422722254,5,29liters,"['29 liters', '29 liters', '29 liters', '29 liters', '29 liters']"
simple_011,simple,claude-sonnet,0.4,0.1,0.25,0.4082360164590241,5,80,"['80', '80 burritos were not eaten at the outing.', '80 burritos remained', '[80 burritos were left over]', '[80]']"
simple_012,simple,claude-sonnet,1.0,1.0,1.0,0.411450980231714,5,36hours,"['36 hours', '36 hours', '36 hours', '36 hours', '36 hours']"
simple_013,simple,claude-sonnet,1.0,1.0,1.0,0.43101278150940897,5,1430,"['$1,430', '$1,430', '$1,430', '$1,430', '$1,430']"
simple_014,simple,claude-sonnet,0.6,0.4,0.5,0.4229266673912561,5,5poundsofinsectsperday,"['5 pounds of insects per day', '5 pounds per day', '[5 pounds of insects per day]', '5 pounds of insects per day', '[5 pounds per day]']"
simple_015,simple,claude-sonnet,0.4,0.2,0.0,0.48517527172138564,5,5,"['[Joey is winning by 5 points]', '5', '[5 points]', '[5]', '[5 points]']"
simple_016,simple,claude-sonnet,0.6,0.3,0.5,0.5488976158386902,5,eachchildreceived5books,"['Each child received 5 books.', 'Each child received 5 books.', 'Each child received 5 books.', 'Each kid received 5 books.', '[5 books]']"
simple_017,simple,claude-sonnet,0.8,0.6,0.75,0.422302264010013,5,66,"['$66', '[$66]', 'Ted spent a total of $66.', '$66', '$66']"
simple_018,simple,claude-sonnet,0.2,0.0,0.0,0.38791353518410604,5,evegaveaway15pomelos,"['Eve gave away 15 pomelos.', 'Eve shared 15 pomelos.', '15', '[15 pomelos were given away]', '[15 pomelos]']"
simple_019,simple,claude-sonnet,1.0,1.0,1.0,0.49092365416517786,5,40,"['[40]', '40', '40', '[40]', '40']"
simple_020,simple,claude-sonnet,1.0,1.0,1.0,0.6981534185369321,5,93,"['$93', '$93', '$93', '$93', '$93']"
